Name,Flow,Amount
ACETIC_ACID,ACETIC_ACID,1.0
ACETONE,ACETONE,1.0
AFC,ELECTRICITY_LV,2.915
AFC,H2_HP,-4.255
AFC,HEAT_LOW_T_DECEN,1.0
ALKALINE_ELECTROLYSIS,ELECTRICITY_HV,-1.654683543622457
ALKALINE_ELECTROLYSIS,H2_MP,1.0
ALKALINE_ELECTROLYSIS,HEAT_LOW_T_DECEN,0.26
AL_MAKING,ALUMINUM,1.0
AL_MAKING,ELECTRICITY_HV,-0.125
AL_MAKING,HEAT_HIGH_T,-1.056
AL_MAKING_HR,ALUMINUM,1.0
AL_MAKING_HR,ELECTRICITY_HV,-0.125
AL_MAKING_HR,HEAT_HIGH_T,-1.003
AN_DIG,CO2_A,1.06
AN_DIG,SNG_MP,1.0
AN_DIG,WET_BIOMASS,-3.346
AN_DIG_SI,CO2_A,2.903
AN_DIG_SI,ELECTRICITY_MV,1.0
AN_DIG_SI,HEAT_LOW_T_DHN,1.12
AN_DIG_SI,WET_BIOMASS,-7.722
ATR,CO2_A,0.411
ATR,H2_HP,1.0
ATR,NG_HP,-1.542
ATR_CCS,CO2_C,0.38
ATR_CCS,CO2_E,0.042
ATR_CCS,H2_HP,1.0
ATR_CCS,NG_HP,-1.583
BENZENE,BENZENE,1.0
BIOETHANOL_TO_BIOJETFUELS,BIO_ETHANOL,-1.754
BIOETHANOL_TO_BIOJETFUELS,BIO_JETFUEL,1.0
BIOETHANOL_TO_BIOJETFUELS,CO2_A,0.192
BIOGAS_ATR,CO2_A,0.695
BIOGAS_ATR,H2_HP,1.0
BIOGAS_ATR,WOOD,-2.783
BIOGAS_ATR_CCS,CO2_C,0.72
BIOGAS_ATR_CCS,CO2_E,0.08
BIOGAS_ATR_CCS,H2_HP,1.0
BIOGAS_ATR_CCS,WOOD,-3.199
BIOGAS_BIOMETHANE,CO2_C,-0.198
BIOGAS_BIOMETHANE,ELECTRICITY_MV,-0.024
BIOGAS_BIOMETHANE,H2_MP,-1.191
BIOGAS_BIOMETHANE,HEAT_HIGH_T,0.189
BIOGAS_BIOMETHANE,SNG_MP,1.0
BIOGAS_SMR,CO2_A,0.428
BIOGAS_SMR,H2_HP,1.0
BIOGAS_SMR,WOOD,-1.711
BIOGAS_SMR_CCS,CO2_C,0.443
BIOGAS_SMR_CCS,CO2_E,0.049
BIOGAS_SMR_CCS,H2_HP,1.0
BIOGAS_SMR_CCS,WOOD,-1.967
BIOMASS_AGRICULTURE_DEJECTION,CO2_E,-0.388235
BIOMASS_AGRICULTURE_DEJECTION,WET_BIOMASS,1.0
BIOMASS_AGRICULTURE_RESIDUAL,CO2_E,-0.388235
BIOMASS_AGRICULTURE_RESIDUAL,WOOD,1.0
BIOMASS_FORESTRY_LEFTOVER1,CO2_E,-0.388235
BIOMASS_FORESTRY_LEFTOVER1,WOOD,1.0
BIOMASS_FORESTRY_LEFTOVER2,CO2_E,-0.388235
BIOMASS_FORESTRY_LEFTOVER2,WOOD,1.0
BIOMASS_FORESTRY_RESIDUAL,CO2_E,-0.388235
BIOMASS_FORESTRY_RESIDUAL,WOOD,1.0
BIOMASS_FORESTRY_UNEXPLOITED,CO2_E,-0.388235
BIOMASS_FORESTRY_UNEXPLOITED,WOOD,1.0
BIOMASS_GAS_EF_H2,CO2_A,0.589
BIOMASS_GAS_EF_H2,ELECTRICITY_LV,0.034
BIOMASS_GAS_EF_H2,H2_MP,1.0
BIOMASS_GAS_EF_H2,WOOD,-2.107
BIOMASS_GAS_EF_H2_CCS,CO2_C,0.763
BIOMASS_GAS_EF_H2_CCS,CO2_E,0.085
BIOMASS_GAS_EF_H2_CCS,ELECTRICITY_LV,0.034
BIOMASS_GAS_EF_H2_CCS,H2_MP,1.0
BIOMASS_GAS_EF_H2_CCS,WOOD,-2.422
BIOMASS_GAS_FB_H2,CO2_A,0.745
