Programming name,Short name,Long name,Long name (FR),Category,Subcategory,Set,Unit_ref,Color
ACETIC_ACID,Acetic acid,Acetic acid,Acide acétique,Resource,Resource,,kWh,#50476B
ACETONE,Acetone,Acetone,Acétone,Resource,Resource,,kWh,#544B70
AEC_OG,Alkaline Electrolysis OG,Alkaline Electrolysis Off-Grid,Électrolyse alcaline hors réseau,Hydrogen Production,Hydrogen,,kW,#671DC9
AFC,Alkaline FC,Alkaline Fuel Cell,Pile à combustible alcaline,Electricity Production,Hydrogen,,kW,#7C3AED
AFC_OG,Alkaline FC OG,Alkaline Fuel Cell Off-Grid,Pile à combustible alcaline hors réseau,Electricity Production,Hydrogen,,kW,#7524E0
AL_MAKING,AL Making,Aluminum Making,Production d'aluminium,Specific sectors,Aluminum,,kt/h,#576675
AL_MAKING_HR,Al Making HR,Aluminum Making Heat Recovery,Production d'aluminium avec récupération de chaleur,Specific sectors,Aluminum,,kt/h,#647688
ALKALINE_ELECTROLYSIS,Alkaline Electrolysis,Alkaline Electrolysis,Électrolyse alcaline,Bioprocesses,Hydrogen,,kW,#06B6D4
ALUMINUM,Aluminium,Aluminium,Aluminium,Flow,Flow,,kt,
AN_DIG,An. Dig.,Anaerobic Digestion of Sewage Sludge,Digestion anaérobie des boues d'épuration,Bioprocesses,Biomass,,kW,#7BC059
AN_DIG_SI,Anaerobic Dig. SI,Anaerobic Digestion of Sewage Sludge Cogeneration,Digestion anaérobie des boues d'épuration avec cogénération,Bioprocesses,Biomass,,kW,#81C360
ATR,Auto-Thermal Reforming,Auto-Thermal Reforming,Reformage autothermique,Hydrogen Production,Hydrogen,,kW,#17B0CF
ATR_CCS,Auto-Thermal Reforming CC,Auto-Thermal Reforming with Carbon Capture,Reformage autothermique avec captage de CO2,Hydrogen Production,Hydrogen,,kW,#17454F
BATTERY,Battery,Battery Energy Storage,Stockage d'énergie par batteries,Infrastructure Storage,Electricity,,GWh,#36567D
BENZENE,Benzene,Benzene,Benzène,Resource,Resource,,kWh,#574E75
BIO_DIESEL,Bio-diesel,Bio diesel,Biodiesel,Resource,Resource,,kWh,#E09D29
BIO_ETHANOL,Bio-ethanol,Bio ethanol,Bioéthanol,Resource,Resource,,kWh,#78350F
BIOETHANOL_TO_BIOJETFUELS,BioEthanol to Jetfuels,Conversion of BioEthanol to Jet Fuels,Conversion du bioéthanol en carburant aviation,Bioprocesses,Chemical,,kW,#A16207
BIOGAS_ATR,Biogas Auto-Thermal Reforming,Biogas Auto-Thermal Reforming,Reformage autothermique du biogaz,Hydrogen Production,Hydrogen,,kW,#27C7E7
BIOGAS_ATR_CCS,Biogas Auto-Thermal Reforming CC,Biogas Auto-Thermal Reforming with Carbon Capture,Reformage autothermique du biogaz avec captage de CO2,Hydrogen Production,Hydrogen,,kW,#1A4D58
BIOGAS_BIOMETHANE,Biomass to Biomethane,Biomass to Biomethane,Conversion de la biomasse en biométhane,Bioprocesses,Synfuel,,kW,#AD682B
BIOGAS_SMR,Biogas Steam Methane Reforming,Biogas Steam Methane Reforming,Reformage vapeur du biogaz,Hydrogen Production,Hydrogen,,kW,#4CD1EB
BIOGAS_SMR_CCS,Biogas Steam Methane Reforming CC,Biogas Steam Methane Reforming with Carbon Capture,Reformage vapeur du biogaz avec captage de CO2,Hydrogen Production,Hydrogen,,kW,#1C5561
BIOMASS_GAS_EF_H2,Biomass Gasification EF H2,Hydrogen from Biomass Gasification Entrained Flow ,Hydrogène par gazéification de biomasse en lit entraîné,Hydrogen Production,Hydrogen,,kW,#1F9370
BIOMASS_GAS_EF_H2_CCS,Biomass Gasification EF H2,Hydrogen from Biomass Gasification Entrained Flow with Carbon Capture,Hydrogène par gazéification de biomasse en lit entraîné avec captage de CO2,Hydrogen Production,Hydrogen,,kW,#72C4D6
BIOMASS_GAS_FB_H2,Biomass Gasification FB H2,Hydrogen from Biomass Gasification Fuidized Bed ,Hydrogène par gazéification de biomasse en lit fluidisé,Hydrogen Production,Hydrogen,,kW,#6CE0BD
BIOMASS_GAS_FB_H2_CCS,Biomass Gasification FB H2,Hydrogen from Biomass Gasification Fuidized Bed with Carbon Capture,Hydrogène par gazéification de biomasse en lit fluidisé avec captage de CO2,Hydrogen Production,Hydrogen,,kW,#7BC8D9
BIOMETHANE_TO_BIOMETHANOL,BioMethane to Methanol,Conversion of BioMethane to Methanol,Conversion du biométhane en méthanol,Specific sectors,Chemical,,kt/h,#854D0E
BIOMETHANOL_CARBONYLATION,BioMethanol Cabonylation,BioMethanol Cabonylation Process,Procédé de carbonylation du biométhanol,Specific sectors,Chemical,,kt/h,#A02254
BIOMETHANOL_FT,BioMethanol Fischer-Tropsch,BioMethanol Synthesis via Fischer-Tropsch Process,Synthèse de biométhanol par le procédé Fischer-Tropsch,Specific sectors,Chemical,,kt/h,#AD255B
BIOMETHANOL_TO_AROMATICS,BioMethanol to Aromatics,Conversion of BioMethanol to Aromatic Compounds,Conversion du biométhanol en composés aromatiques,Bioprocesses,Chemical,,kW,#D53978
BIOMETHANOL_TO_OLEFINS,BioMethanol to Olefins,Conversion of BioMethanol to Olefinic Compounds,Conversion du biométhanol en composés oléfiniques,Bioprocesses,Chemical,,kW,#D84680
BUS_BIODIESEL_B100,Bus BioDiesel,100% BioDiesel-Powered Bus,Autobus au biodiesel 100%,Public Mobility,Road,CA,pkm/h,#704C10
BUS_BIODIESEL_B20,Bus BioDiesel 20%,20% BioDiesel-Powered Bus,Autobus au biodiesel 20%,Public Mobility,Road,,pkm/h,#A97418
BUS_CNG,Bus CNG,Compressed Natural Gas-Powered Bus,Autobus au gaz naturel comprimé,Public Mobility,Road,,pkm/h,#344957
BUS_CNG_STOICH,Bus comp. NG,Compressed Natural Gas-Powered Bus ,Autobus au gaz naturel comprimé,Public Mobility,Road,,pkm/h,#344957
BUS_COACH_CNG_STOICH,Bus comp. NG,Compressed Natural Gas-Powered Bus ,Autobus au gaz naturel comprimé,Public Mobility,Road,,pkm/h,#344957
BUS_COACH_DIESEL,Bus Diesel,Diesel-Powered Bus,Autobus au diesel,Public Mobility,Road,,pkm/h,#4F2D0E
BUS_COACH_ELEC,Bus Elec.,Battery Electric Bus,Autobus électrique à batteries,Public Mobility,Road,,pkm/h,#806C00
BUS_COACH_FC_HYBRIDH2,Bus H2 FC,Hydrogen Fuel Cell Bus,Autobus à pile à combustible hydrogène,Public Mobility,Road,CA,pkm/h,#3DAACF
BUS_COACH_HYDIESEL,Bus Hybrid Diesel,Diesel Hybrid Bus,Autobus hybride diesel,Public Mobility,Road,CA,pkm/h,#81B82E
BUS_CSNG,Bus CNG,Compressed Synthetic Natural Gas-Powered Bus,Autobus au gaz naturel synthétique comprimé,Public Mobility,Road,,pkm/h,#7E8F9A
BUS_DIESEL,Bus Diesel,Diesel-Powered Bus,Autobus au diesel,Public Mobility,Road,,pkm/h,#4F2D0E
BUS_EV,Bus Electric,Electric-Powered Bus,Autobus électrique,Public Mobility,Road,,pkm/h,#CBAC00
BUS_FC_CH4,Bus Methane FC,Methane Fuel Cell-Powered Bus,Autobus à pile à combustible méthane,Public Mobility,Road,CA,pkm/h,#34AEB5
BUS_FC_H2,Bus Hydrogen FC,Hydrogen Fuel Cell-Powered Bus,Autobus à pile à combustible hydrogène,Public Mobility,Road,,pkm/h,#47AFD1
BUS_FC_HYBRID_CH4,Bus Methane Fuel Cell,Fuel Cell Bus with Methane Hybridization,Autobus à pile à combustible avec hybridation méthane,Public Mobility,Road,CA,pkm/h,#28858A
BUS_FC_HYBRID_H2,Bus Hydrogen Fuel Cell,Fuel Cell Bus with Hydrogen Hybridization,Autobus à pile à combustible avec hybridation hydrogène,Public Mobility,Road,,pkm/h,#24748F
BUS_GASOLINE,Bus Gasoline,Gasoline-Powered Bus,Autobus à essence,Public Mobility,Road,CA,pkm/h,#7C2D12
BUS_HY_DIESEL,Bus Hybrid Diesel,Hybrid Diesel-Powered Bus,Autobus hybride diesel,Public Mobility,Road,,pkm/h,#C36D22
BUS_PROPANE,Bus Propane,Propane-Powered Bus,Autobus au propane,Public Mobility,Road,CA,pkm/h,#94552B
CAR_BEV,Car BEV,Battery Electric Car,Voiture électrique à batteries,Private Mobility,Car,,pkm/h,#8A7600
CAR_BEV_LOWRANGE,Car BEV LR,Battery Electric Car with Low Range,Voiture électrique à batteries à faible autonomie,Private Mobility,Car,,pkm/h,#957F00
CAR_BEV_MEDRANGE,Car BEV MR,Battery Electric Car with Medium Range,Voiture électrique à batteries à autonomie moyenne,Private Mobility,Car,,pkm/h,#A08800
CAR_BEV_MEDRANGE_LOCAL,Car BEV MR LO,Battery Electric Car with Medium Range for Local Use,Voiture électrique à batteries à autonomie moyenne pour usage local,Private Mobility,Car,CA,pkm/h,#AA9100
CAR_BEV_MEDRANGE_LONGD,Car BEV MR LD,Battery Electric Car with Medium Range for Long Distances,Voiture électrique à batteries à autonomie moyenne pour longues distances,Private Mobility,Car,CA,pkm/h,#B59A00
CAR_BIODIESEL_B100,Car BioDiesel,100% BioDiesel-Powered Car,Voiture au biodiesel 100%,Private Mobility,Car,CA,pkm/h,#765111
CAR_BIODIESEL_B20,Car BioDiesel 20%,20% BioDiesel-Powered Car,Voiture au biodiesel 20%,Private Mobility,Car,,pkm/h,#AF7819
CAR_BIOETOH_E10,Car BioEthanol E10,BioEthanol-Powered Car (E10 Blend),Voiture au bioéthanol (mélange E10),Private Mobility,Car,,pkm/h,#9F5F28
CAR_BIOETOH_E85,Car BioEthanol E85,BioEthanol-Powered Car with E85 Blend,Voiture au bioéthanol (mélange E85),Private Mobility,Car,CA,pkm/h,#A6642A
