Name,Type,Product,Activity,Database
ACETIC_ACID,Resource,acetic acid,market for acetic acid,"image, remind, message, tiam-ucl"
ACETIC_ACID,Flow,acetic acid,market for acetic acid,"image, remind, message, tiam-ucl"
ACETONE,Resource,"acetone, liquid","market for acetone, liquid","image, remind, message, tiam-ucl"
ACETONE,Flow,"acetone, liquid","market for acetone, liquid","image, remind, message, tiam-ucl"
AFC,Construction,"fuel cell system, 1 kWe, proton exchange membrane (PEM)","fuel cell system assembly, 1 kWe, proton exchange membrane (PEM)","image, remind, message, tiam-ucl"
AFC,Operation,"electricity, from residential heating system","electricity, residential, by conversion of hydrogen using fuel cell, PEM, allocated by exergy, distributed by pipeline, produced by Electrolysis, PEM using electricity from grid","image, remind, message, tiam-ucl"
AL_MAKING,Construction,aluminium casting facility,aluminium casting facility construction,"image, remind, message, tiam-ucl"
AL_MAKING,Operation,"aluminium, primary, ingot","aluminium production, primary, ingot","image, remind, message, tiam-ucl"
AL_MAKING_HR,Construction,aluminium casting facility,aluminium casting facility construction,"image, remind, message, tiam-ucl"
AL_MAKING_HR,Operation,"aluminium, primary, ingot","aluminium production, primary, ingot","image, remind, message, tiam-ucl"
ALKALINE_ELECTROLYSIS,Operation,"hydrogen, gaseous, 20 bar","hydrogen production, gaseous, 20 bar, from AEC electrolysis, from grid electricity","image, remind, message, tiam-ucl"
ALKALINE_ELECTROLYSIS_PLANT,Construction,"electrolyzer, 1MWe, AEC, Balance of Plant","electrolyzer production, 1MWe, AEC, Balance of Plant","image, remind, message, tiam-ucl"
ALKALINE_ELECTROLYSIS_PLANT_DECOM,Construction,"used electrolyzer balance of plant, 1MWe, AEC","treatment of electrolyzer balance of plant, 1MWe, AEC","image, remind, message, tiam-ucl"
ALKALINE_ELECTROLYSIS_STACK,Construction,"electrolyzer, 1MWe, AEC, Stack","electrolyzer production, 1MWe, AEC, Stack","image, remind, message, tiam-ucl"
ALKALINE_ELECTROLYSIS_STACK_DECOM,Construction,"used electrolyzer stack, 1MWe, AEC","treatment of electrolyzer stack, 1MWe, AEC","image, remind, message, tiam-ucl"
ALUMINUM,Flow,"aluminium, primary, ingot","market for aluminium, primary, ingot","image, remind, message, tiam-ucl"
AN_DIG,Operation,biogas,anaerobic digestion of manure,"image, remind, message, tiam-ucl"
AN_DIG,Construction,"anaerobic digestion plant, for biowaste","anaerobic digestion plant construction, for biowaste","image, remind, message, tiam-ucl"
AN_DIG_SI,Operation,biogas,anaerobic digestion of manure,"image, remind, message, tiam-ucl"
AN_DIG_SI_COGEN,Construction,"heat and power co-generation unit, 160kW electrical, common components for heat+electricity","heat and power co-generation unit construction, 160kW electrical, common components for heat+electricity","image, remind, message, tiam-ucl"
AN_DIG_SI_PLANT,Construction,"anaerobic digestion plant, for biowaste","anaerobic digestion plant construction, for biowaste","image, remind, message, tiam-ucl"
ATR,Operation,"hydrogen, gaseous, low pressure","hydrogen production, auto-thermal reforming","image, remind, message, tiam-ucl"
ATR_CCS,Operation,"hydrogen, gaseous, low pressure","hydrogen production, auto-thermal reforming, with CCS","image, remind, message, tiam-ucl"
ATR_CCS_PLANT,Construction,"chemical factory, organics","chemical factory construction, organics","image, remind, message, tiam-ucl"
ATR_CCS_TANK,Construction,"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics","image, remind, message, tiam-ucl"
ATR_PLANT,Construction,"chemical factory, organics","chemical factory construction, organics","image, remind, message, tiam-ucl"
ATR_TANK,Construction,"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics","image, remind, message, tiam-ucl"
BATTERY,Construction,"battery, Li-ion, LiMn2O4, rechargeable","market for battery, Li-ion, LiMn2O4, rechargeable","image, remind, message, tiam-ucl"
BENZENE,Resource,benzene,market for benzene,"image, remind, message, tiam-ucl"
BENZENE,Flow,benzene,market for benzene,"image, remind, message, tiam-ucl"
BIO_DIESEL,Resource,"biodiesel, vehicle grade","biodiesel, from used cooking oil, at fuelling station","image, remind, message, tiam-ucl"
BIO_DIESEL,Flow,"biodiesel, vehicle grade","biodiesel, from used cooking oil, at fuelling station","image, remind, message, tiam-ucl"
BIO_ETHANOL,Resource,"ethanol, from corn","ethanol production, via fermentation, from corn, economic allocation","image, remind, message, tiam-ucl"
BIOETHANOL_TO_BIOJETFUELS,Construction,"chemical factory, organics","chemical factory construction, organics","image, remind, message, tiam-ucl"
BIOETHANOL_TO_BIOJETFUELS,Operation,"kerosene, synthetic","kerosene production, from methanol, hydrogen from coal gasification, energy allocation","image, remind, message, tiam-ucl"
BIOGAS_ATR,Operation,"hydrogen, gaseous, low pressure","hydrogen production, auto-thermal reforming, from biomethane","image, remind, message, tiam-ucl"
BIOGAS_ATR_CCS,Operation,"hydrogen, gaseous, low pressure","hydrogen production, auto-thermal reforming, from biomethane, with CCS","image, remind, message, tiam-ucl"
