Sector,EUD,Year,Ratio 2020,Unit,Scenario
TRANSPORTATION,MOBILITY_FREIGHT_SD,2050,1.143158911,Mtkm,Global Net Zero
TRANSPORTATION,MOBILITY_FREIGHT_MD,2050,1.143158911,Mtkm,Global Net Zero
TRANSPORTATION,MOBILITY_FREIGHT_LD,2050,1.143158911,Mtkm,Global Net Zero
TRANSPORTATION,MOBILITY_FREIGHT_ELD,2050,1.143158911,Mtkm,Global Net Zero
TRANSPORTATION,MOBILITY_PASSENGER_SD,2050,1.521592153,Mpkm,Global Net Zero
TRANSPORTATION,MOBILITY_PASSENGER_MD,2050,1.521592153,Mpkm,Global Net Zero
TRANSPORTATION,MOBILITY_PASSENGER_LD,2050,1.521592153,Mpkm,Global Net Zero
HOUSEHOLDS,ELECTRICITY_LV,2050,0.929409756,GWh,Global Net Zero
HOUSEHOLDS,HEAT_LOW_T_HW,2050,0.929409756,GWh,Global Net Zero
HOUSEHOLDS,HEAT_LOW_T_SC,2050,0.929409756,GWh,Global Net Zero
HOUSEHOLDS,HEAT_LOW_T_SH,2050,0.929409756,GWh,Global Net Zero
HOUSEHOLDS,LIGHTING,2050,0.929409756,GWh,Global Net Zero
SERVICES,ELECTRICITY_LV,2050,1.361669877,GWh,Global Net Zero
SERVICES,ELECTRICITY_MV,2050,1.361669877,GWh,Global Net Zero
SERVICES,HEAT_HIGH_T,2050,1.361669877,GWh,Global Net Zero
SERVICES,HEAT_LOW_T_HW,2050,1.361669877,GWh,Global Net Zero
SERVICES,HEAT_LOW_T_SC,2050,1.361669877,GWh,Global Net Zero
SERVICES,HEAT_LOW_T_SH,2050,1.361669877,GWh,Global Net Zero
SERVICES,LIGHTING,2050,1.361669877,GWh,Global Net Zero
INDUSTRY,ELECTRICITY_EHV,2050,0.998367234,GWh,Global Net Zero
INDUSTRY,ELECTRICITY_HV,2050,0.998367234,GWh,Global Net Zero
INDUSTRY,ELECTRICITY_MV,2050,0.998367234,GWh,Global Net Zero
INDUSTRY,HEAT_HIGH_T,2050,0.998367234,GWh,Global Net Zero
INDUSTRY,HEAT_LOW_T_HW,2050,0.998367234,GWh,Global Net Zero
INDUSTRY,HEAT_LOW_T_SH,2050,0.998367234,GWh,Global Net Zero
INDUSTRY,LIGHTING,2050,0.998367234,GWh,Global Net Zero
TRANSPORTATION,MOBILITY_FREIGHT_SD,2050,1.13953398,Mtkm,Current Measure
TRANSPORTATION,MOBILITY_FREIGHT_MD,2050,1.13953398,Mtkm,Current Measure
