ES_name_ES_QC,param,YEAR_2020,YEAR_2050,Unit,Source,Technology name
ELECTRICITY_EHV,c_op,0.04,0.06,$/kwh,"Hydro-Quebec. (2024,  December  6). *Une etape importante pour securiser lavenir energetique du Quebec* [Press release]. https://nouvelles.hydroquebec.com/fr/communiques-de-presse/2143/une-etape-importante-pour-securiser-lavenir-energetique-du-quebec/",
ELECTRICITY_HV,c_op,0.04,0.06,$/kwh,"Hydro-Quebec. (2024,  December  6). *Une etape importante pour securiser lavenir energetique du Quebec* [Press release]. https://nouvelles.hydroquebec.com/fr/communiques-de-presse/2143/une-etape-importante-pour-securiser-lavenir-energetique-du-quebec/",
ELECTRICITY_MV,c_op,0.04,0.06,$/kwh,"Hydro-Quebec. (2024,  December  6). *Une etape importante pour securiser lavenir energetique du Quebec* [Press release]. https://nouvelles.hydroquebec.com/fr/communiques-de-presse/2143/une-etape-importante-pour-securiser-lavenir-energetique-du-quebec/",
ELECTRICITY_LV,c_op,0.04,0.06,$/kwh,"Hydro-Quebec. (2024,  December  6). *Une etape importante pour securiser lavenir energetique du Quebec* [Press release]. https://nouvelles.hydroquebec.com/fr/communiques-de-presse/2143/une-etape-importante-pour-securiser-lavenir-energetique-du-quebec/",
GASOLINE,c_op,1.5,0.8,$/L,Natural Resources Canada. (2020). *Hydrogen strategy for Canada: Seizing the opportunities for hydrogen*. Government of Canada. https://natural-resources.canada.ca/sites/nrcan/files/environment/hydrogen/NRCan_Hydrogen%20Strategy%20for%20Canada%20Dec%2015%202200%20clean_low_accessible.pdf,
DIESEL,c_op,1.4,1,$/L,Natural Resources Canada. (2020). *Hydrogen strategy for Canada: Seizing the opportunities for hydrogen*. Government of Canada. https://natural-resources.canada.ca/sites/nrcan/files/environment/hydrogen/NRCan_Hydrogen%20Strategy%20for%20Canada%20Dec%2015%202200%20clean_low_accessible.pdf,
BIO_DIESEL,c_op,134.387,120.2348217,USD/hl,Organisation for Economic Co-operation and Development (OECD) & Food and Agriculture Organization (FAO). (2024). *OECD-FAO Agricultural Outlook 2024-2033*. OECD Publishing. https://www.oecd.org/en/publications/2024/07/oecd-fao-agricultural-outlook-2024-2033_e173f332.html,
LFO,c_op,18.92,53.89,End use prices - Industrial - Quebec - 2022 C$ per GJ,Canada Energy Regulator. (2024). *Facilities and Pipeline Data Centre*. Government of Canada. https://doi.org/10.35002/zjr8-8x75,
HFO,c_op,18.92,53.89,End use prices - Industrial - Quebec - 2022 C$ per GJ,Canada Energy Regulator. (2024). *Facilities and Pipeline Data Centre*. Government of Canada. https://doi.org/10.35002/zjr8-8x75,
NG_EHP,c_op,2.26,1.8, Henry Hub 2022 US$/MMBtu,Canada Energy Regulator. (2024). *Facilities and Pipeline Data Centre*. Government of Canada. https://doi.org/10.35002/zjr8-8x76,
NG_HP,c_op,2.26,1.8, Henry Hub 2022 US$/MMBtu,Canada Energy Regulator. (2024). *Facilities and Pipeline Data Centre*. Government of Canada. https://doi.org/10.35002/zjr8-8x77,
NG_MP,c_op,2.26,1.8, Henry Hub 2022 US$/MMBtu,Canada Energy Regulator. (2024). *Facilities and Pipeline Data Centre*. Government of Canada. https://doi.org/10.35002/zjr8-8x78,
NG_LP,c_op,2.26,1.8, Henry Hub 2022 US$/MMBtu,Canada Energy Regulator. (2024). *Facilities and Pipeline Data Centre*. Government of Canada. https://doi.org/10.35002/zjr8-8x79,
URANIUM,c_op,79.7331789,128.6144352,USD/kgU,"Monnet, A., Gabriel, S., & Percebois, J. (2017). Long-term availability of global uranium resources. *Resources Policy, 53* . https://doi.org/10.1016/j.resourpol.2017.07.008",
WASTE,c_op,93.40587687,80.5790403,USD/hl,Organisation for Economic Co-operation and Development (OECD) & Food and Agriculture Organization (FAO). (2024). *OECD-FAO Agricultural Outlook 2024-2033*. OECD Publishing. https://www.oecd.org/en/publications/2024/07/oecd-fao-agricultural-outlook-2024-2033_e173f332.html,
WASTE_BIO,c_op,93.40587687,80.5790403,USD/hl,Organisation for Economic Co-operation and Development (OECD) & Food and Agriculture Organization (FAO). (2024). *OECD-FAO Agricultural Outlook 2024-2033*. OECD Publishing. https://www.oecd.org/en/publications/2024/07/oecd-fao-agricultural-outlook-2024-2033_e173f332.html,
H2_EHP,c_op,7,5,2020 US$/kg,Canada Energy Regulator. (2021). *Canadas Energy Future 2021: Scenarios and assumptions*. Government of Canada. https://www.cer-rec.gc.ca/en/data-analysis/canada-energy-future/2021/scenarios-and-assumptions.html,
H2_HP,c_op,7,5,2020 US$/kg,Canada Energy Regulator. (2021). *Canadas Energy Future 2021: Scenarios and assumptions*. Government of Canada. https://www.cer-rec.gc.ca/en/data-analysis/canada-energy-future/2021/scenarios-and-assumptions.html,
H2_MP,c_op,7,5,2020 US$/kg,Canada Energy Regulator. (2021). *Canadas Energy Future 2021: Scenarios and assumptions*. Government of Canada. https://www.cer-rec.gc.ca/en/data-analysis/canada-energy-future/2021/scenarios-and-assumptions.html,
