ES_name_ESTD,ES_name_ES_QC
AMMONIA,
AMMONIA_RE,
AMMONIA_STORAGE,
AMMONIA_TO_H2,
ATM_CCS,"DAC_HT, DAC_LT"
BATT_LI,BATTERY
BIODIESEL,BIO_DIESEL
BIOETHANOL,
BIOMASS_TO_HVC,
BIOMASS_TO_METHANOL,WOOD_METHANOL
BIOMETHANATION,METHANATION
BIO_HYDROLYSIS,
BOAT_FREIGHT_DIESEL,
BOAT_FREIGHT_METHANOL,
BOAT_FREIGHT_NG,
BUS_COACH_CNG_STOICH,"BUS_CNG, COACH_CNG, SCHOOLBUS_CNG, BUS_CSNG, COACH_CSNG, SCHOOLBUS_CSNG"
BUS_COACH_DIESEL,"BUS_DIESEL, BUS_BIODIESEL_B20, BUS_BIODIESEL_B100, BUS_GASOLINE, BUS_PROPANE, COACH_DIESEL, COACH_BIODIESEL_B20, COACH_BIODIESEL_B100, COACH_GASOLINE, COACH_PROPANE, SCHOOLBUS_DIESEL, SCHOOLBUS_BIODIESEL_B20, SCHOOLBUS_BIODIESEL_B100, SCHOOLBUS_GASOLINE, SCHOOLBUS_PROPANE"
BUS_COACH_FC_HYBRIDH2,"BUS_FC_H2, BUS_FC_CH4, COACH_FC_CH4, SCHOOLBUS_FC_CH4"
BUS_COACH_HYDIESEL,"BUS_HY_DIESEL, COACH_HY_DIESEL, SCHOOLBUS_HY_DIESEL"
CAR_BEV,"CAR_EV, SUV_EV"
CAR_DIESEL,"CAR_DIESEL, CAR_BIODIESEL_B20, CAR_BIODIESEL_B100, SUV_DIESEL, SUV_BIODIESEL_B20, SUV_BIODIESEL_B100"
CAR_FUEL_CELL,"CAR_FC_H2, CAR_FC_CH4, SUV_FC_H2, SUV_FC_CH4"
CAR_GASOLINE,"CAR_GASOLINE, CAR_PROPANE, SUV_GASOLINE, SUV_PROPANE"
CAR_HEV,"CAR_HEV, SUV_HEV"
CAR_METHANOL,"CAR_MEOH, CAR_ETOH_E10, CAR_ETOH_E85, SUV_MEOH, SUV_ETOH_E10, SUV_ETOH_E85, CAR_BIOMEOH, CAR_BIOETOH_E10, CAR_BIOETOH_E85, SUV_BIOMEOH, SUV_BIOETOH_E10, SUV_BIOETOH_E85"
CAR_NG,"CAR_CNG, SUV_CNG, CAR_CSNG, SUV_CSNG"
CAR_PHEV,"CAR_PHEV, SUV_PHEV_GASOLINE"
CCGT,"CCGT, H2_NG_CCGT, CCGT_CC, H2_NG_CCGT_CCS, CCGT_BIOGAS, H2_SNG_CCGT, CCGT_BIOGAS_CC, H2_SNG_CCGT_CCS"
CCGT_AMMONIA,
COAL,COAL
COAL_IGCC,"COAL_IGCC, COAL_IGCC_CC"
COAL_US,"COAL_US, COAL_US_CC"
DEC_ADVCOGEN_GAS,
DEC_ADVCOGEN_H2,DEC_ADVCOGEN_H2
DEC_BOILER_GAS,"DEC_BOILER_GAS, DEC_BOILER_BIOGAS"
DEC_BOILER_OIL,"DEC_BOILER_OIL, DEC_BOILER_BIOOIL"
DEC_BOILER_WOOD,DEC_BOILER_WOOD
