ES_name_ES_QC,param,YEAR_2020,YEAR_2050,Unit,Source,Technology name,YEAR_2025,YEAR_2030,YEAR_2035,YEAR_2040,YEAR_2045,Ratio 2025/2020,Ratio 2030/2020,Ratio 2035/2020,Ratio 2040/2020,Ratio 2045/2020,Ratio 2050/2020
ELECTRICITY_EHV,c_op,0.04,0.06,$/kwh,"Hydro-Quebec. (2024,  December  6). *Une etape importante pour securiser lavenir energetique du Quebec* [Press release]. https://nouvelles.hydroquebec.com/fr/communiques-de-presse/2143/une-etape-importante-pour-securiser-lavenir-energetique-du-quebec/",,0.043333333333333335,0.04666666666666667,0.05,0.05333333333333333,0.05666666666666667,1.0833333333333333,1.1666666666666667,1.25,1.3333333333333333,1.4166666666666667,1.5
ELECTRICITY_HV,c_op,0.04,0.06,$/kwh,"Hydro-Quebec. (2024,  December  6). *Une etape importante pour securiser lavenir energetique du Quebec* [Press release]. https://nouvelles.hydroquebec.com/fr/communiques-de-presse/2143/une-etape-importante-pour-securiser-lavenir-energetique-du-quebec/",,0.043333333333333335,0.04666666666666667,0.05,0.05333333333333333,0.05666666666666667,1.0833333333333333,1.1666666666666667,1.25,1.3333333333333333,1.4166666666666667,1.5
ELECTRICITY_MV,c_op,0.04,0.06,$/kwh,"Hydro-Quebec. (2024,  December  6). *Une etape importante pour securiser lavenir energetique du Quebec* [Press release]. https://nouvelles.hydroquebec.com/fr/communiques-de-presse/2143/une-etape-importante-pour-securiser-lavenir-energetique-du-quebec/",,0.043333333333333335,0.04666666666666667,0.05,0.05333333333333333,0.05666666666666667,1.0833333333333333,1.1666666666666667,1.25,1.3333333333333333,1.4166666666666667,1.5
ELECTRICITY_LV,c_op,0.04,0.06,$/kwh,"Hydro-Quebec. (2024,  December  6). *Une etape importante pour securiser lavenir energetique du Quebec* [Press release]. https://nouvelles.hydroquebec.com/fr/communiques-de-presse/2143/une-etape-importante-pour-securiser-lavenir-energetique-du-quebec/",,0.043333333333333335,0.04666666666666667,0.05,0.05333333333333333,0.05666666666666667,1.0833333333333333,1.1666666666666667,1.25,1.3333333333333333,1.4166666666666667,1.5
BIO_DIESEL,c_op,134.387,120.2348217,USD/hl,Organisation for Economic Co-operation and Development (OECD) & Food and Agriculture Organization (FAO). (2024). *OECD-FAO Agricultural Outlook 2024-2033*. OECD Publishing. https://www.oecd.org/en/publications/2024/07/oecd-fao-agricultural-outlook-2024-2033_e173f332.html,,132.02830361666668,129.66960723333332,127.31091085,124.95221446666666,122.59351808333334,0.9824484780273887,0.9648969560547771,0.9473454340821656,0.9297939121095542,0.9122423901369429,0.8946908681643313
URANIUM,c_op,79.7331789,128.6144352,USD/kgU,"Monnet, A., Gabriel, S., & Percebois, J. (2017). Long-term availability of global uranium resources. *Resources Policy, 53* . https://doi.org/10.1016/j.resourpol.2017.07.008",,87.88005495,96.02693099999999,104.17380705,112.3206831,120.46755915,1.1021767369919826,1.2043534739839652,1.3065302109759478,1.4087069479679306,1.5108836849599132,1.613060421951896
WASTE,c_op,93.40587687,80.5790403,USD/hl,Organisation for Economic Co-operation and Development (OECD) & Food and Agriculture Organization (FAO). (2024). *OECD-FAO Agricultural Outlook 2024-2033*. OECD Publishing. https://www.oecd.org/en/publications/2024/07/oecd-fao-agricultural-outlook-2024-2033_e173f332.html,,91.268070775,89.13026468,86.99245858500001,84.85465249,82.716846395,0.9771127238816532,0.9542254477633062,0.9313381716449595,0.9084508955266125,0.8855636194082657,0.8626763432899187
WASTE_BIO,c_op,93.40587687,80.5790403,USD/hl,Organisation for Economic Co-operation and Development (OECD) & Food and Agriculture Organization (FAO). (2024). *OECD-FAO Agricultural Outlook 2024-2033*. OECD Publishing. https://www.oecd.org/en/publications/2024/07/oecd-fao-agricultural-outlook-2024-2033_e173f332.html,,91.268070775,89.13026468,86.99245858500001,84.85465249,82.716846395,0.9771127238816532,0.9542254477633062,0.9313381716449595,0.9084508955266125,0.8855636194082657,0.8626763432899187
H2_EHP,c_op,7.0,5.0,2020 US$/kg,Canada Energy Regulator. (2021). *Canadas Energy Future 2021: Scenarios and assumptions*. Government of Canada. https://www.cer-rec.gc.ca/en/data-analysis/canada-energy-future/2021/scenarios-and-assumptions.html,,6.666666666666667,6.333333333333333,6.0,5.666666666666667,5.333333333333333,0.9523809523809524,0.9047619047619048,0.8571428571428571,0.8095238095238095,0.7619047619047619,0.7142857142857143
H2_HP,c_op,7.0,5.0,2020 US$/kg,Canada Energy Regulator. (2021). *Canadas Energy Future 2021: Scenarios and assumptions*. Government of Canada. https://www.cer-rec.gc.ca/en/data-analysis/canada-energy-future/2021/scenarios-and-assumptions.html,,6.666666666666667,6.333333333333333,6.0,5.666666666666667,5.333333333333333,0.9523809523809524,0.9047619047619048,0.8571428571428571,0.8095238095238095,0.7619047619047619,0.7142857142857143
