Programming name,Short name,Long name,Category,Subcategory,Set,Unit_ref,,
ACETIC_ACID,Acetic acid,Acetic acid,Resource,Resource,,kWh,,
ACETONE,Acetone,Acetone,Resource,Resource,,kWh,,
AEC_OG,Alkaline Electrolysis OG,Alkaline Electrolysis Off-Grid,Hydrogen Production,Hydrogen,,kW,,
AFC,Alkaline FC,Alkaline Fuel Cell,Electricity Production,Hydrogen,,kW,,
AFC_OG,Alkaline FC OG,Alkaline Fuel Cell Off-Grid,Electricity Production,Hydrogen,,kW,,
AL_MAKING,AL Making,Aluminum Making,Specific sectors,Aluminum,,kt/h,,
AL_MAKING_HR,Al Making HR,Aluminum Making Heat Recovery,Specific sectors,Aluminum,,kt/h,,
ALKALINE_ELECTROLYSIS,Alkaline Electrolysis,Alkaline Electrolysis,Bioprocesses,Hydrogen,,kW,,
ALUMINUM,Aluminium,Aluminium,Flow,Flow,,kt,,
AN_DIG,An. Dig.,Anaerobic Digestion of Sewage Sludge,Bioprocesses,Biomass,,kW,,
AN_DIG_SI,Anaerobig Dig. SI,Anaerobic Digestion of Sewage Sludge Cogeneration,Bioprocesses,Biomass,,kW,,
ATR,Auto-Thermal Reforming,Auto-Thermal Reforming,Hydrogen Production,Hydrogen,,kW,,
ATR_CCS,Auto-Thermal Reforming CC,Auto-Thermal Reforming with Carbon Capture,Hydrogen Production,Hydrogen,,kW,,
BATTERY,Battery,Battery Energy Storage,Infrastructure Storage,Electricity,,GWh,,
BENZENE,Benzene,Benzene,Resource,Resource,,kWh,,
BIO_DIESEL,Bio-diesel,Bio-diesel,Resource,Resource,,kWh,,
BIO_ETHANOL,Bio-ethanol,Bio-ethanol,Resource,Resource,,kWh,,
BIOETHANOL_TO_BIOJETFUELS,BioEthanol to Jetfuels,Conversion of BioEthanol to Jet Fuels,Bioprocesses,Chemical,,kW,,
BIOGAS_ATR,Biogas Auto-Thermal Reforming,Biogas Auto-Thermal Reforming,Hydrogen Production,Hydrogen,,kW,,
BIOGAS_ATR_CCS,Biogas Auto-Thermal Reforming CC,Biogas Auto-Thermal Reforming with Carbon Capture,Hydrogen Production,Hydrogen,,kW,,
BIOGAS_BIOMETHANE,Biomass to Biomethane,Biomass to Biomethane,Bioprocesses,Synfuel,,kW,,
BIOGAS_SMR,Biogas Steam Methane Reforming,Biogas Steam Methane Reforming,Hydrogen Production,Hydrogen,,kW,,
BIOGAS_SMR_CCS,Biogas Steam Methane Reforming CC,Biogas Steam Methane Reforming with Carbon Capture,Hydrogen Production,Hydrogen,,kW,,
BIOMASS_GAS_EF_H2,Biomass Gasification EF H2,Hydrogen from Biomass Gasification Entrained Flow ,Hydrogen Production,Hydrogen,,kW,,
